INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA insid 1065,INSTITUTIONS*NAME_CLASS*U,Ciutat de València,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-05-03,SORIANO,,,,,Ciutat de València
BITECA insid 1066,INSTITUTIONS*NAME_CLASS*U,Procuració general de València,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-02,SORIANO,,,,,Procuració general de València
BITECA insid 1067,INSTITUTIONS*NAME_CLASS*U,Flota catalana,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,,,,,,,Flota catalana
BITECA insid 1068,INSTITUTIONS*NAME_CLASS*U,Orde del Temple de Jerusalem,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MILITARYORDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,1997-09-14,AVENOZA,,,,,Orde del Temple de Jerusalem
BITECA insid 1069,INSTITUTIONS*NAME_CLASS*U,Regne de Múrcia,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-02,SORIANO,,,,,Murcia (regne): Regne de Múrcia
BITECA insid 1070,INSTITUTIONS*NAME_CLASS*U,Regne de València,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-02,SORIANO,,,,,Regne de València
BITECA insid 1071,INSTITUTIONS*NAME_CLASS*U,Castell de Xàtiva,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-02,SORIANO,,,,,Xàtiva: Castell de Xàtiva
BITECA insid 1072,INSTITUTIONS*NAME_CLASS*U,Catedral del Salvador en la seva Epifania de Saragossa,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CHURCH,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-17,TRIADO,,,,,Catedral del Salvador en la seva Epifania de Saragossa
BITECA insid 1073,INSTITUTIONS*NAME_CLASS*U,Castell-Abadia de Montaragó,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-02,SORIANO,,,,,Montearagón: Castell-Abadia de Montaragó
BITECA insid 1074,INSTITUTIONS*NAME_CLASS*U,Arxidiòcesi de Saragossa,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-02,SORIANO,,,,,Arxidiòcesi de Saragossa
BITECA insid 1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-18,SORIANO,,,,,
BITECA insid 1076,INSTITUTIONS*NAME_CLASS*U,Corona d’Aragó,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2013-04-14,AVENOZA,,,,,Corona d’Aragó (regne): Corona d’Aragó
BITECA insid 1078,INSTITUTIONS*NAME_CLASS*U,Mestre racional de Barcelona,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-18,SORIANO,,,,,Mestre racional de Barcelona
BITECA insid 1079,INSTITUTIONS*NAME_CLASS*U,Vegueria de Tarragona,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-31,AVENOZA,2024-04-02,SORIANO,,,,,Vegueria de Tarragona
