GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP geoid 6133,GEOGRAPHY*NAME_CLASS*U,Castelo de Alva,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 2065,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-06,ASKINS,2024-01-28,ASKINS,,,,,Castelo de Alva (castelo)
BITAGAP geoid 6134,GEOGRAPHY*NAME_CLASS*U,Muralhas de Ponte de Lima,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*MU,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1158,,,,,,,,,,,,,,,,,,,BITAGAP subid 1495,,,,,,,,2022-05-06,ASKINS,2024-01-10,ASKINS,,,,,Muralhas de Ponte de Lima (muros - muralhas)
BITAGAP geoid 6135,GEOGRAPHY*NAME_CLASS*U,Torre de Atalaião,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*TOR,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1061,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-06,ASKINS,2024-01-10,ASKINS,,,,,Torre de Atalaião (torre)
BITAGAP geoid 6136,GEOGRAPHY*NAME_CLASS*U,Muralhas do Porto,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*MU,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1002,,,,,,,,,,,,,,,,,,,BITAGAP subid 1495,,,,,,,,2022-05-06,ASKINS,2024-01-10,ASKINS,,,,,Muralhas do Porto (muros - muralhas)
BITAGAP geoid 6137,GEOGRAPHY*NAME_CLASS*U,Castelo de Proença-a-Velha,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 2263,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-06,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Proença-a-Velha (castelo)
BITAGAP geoid 6138,GEOGRAPHY*NAME_CLASS*U,Castelo de Germanelo,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3983,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,Restos: muralha<br />,,2022-05-06,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Germanelo (castelo)
BITAGAP geoid 6139,GEOGRAPHY*NAME_CLASS*U,Castelo de Ranhados,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1714,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-06,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Ranhados (castelo)
BITAGAP geoid 6140,GEOGRAPHY*NAME_CLASS*U,Castelo de Rebordãos,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 2094,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-06,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Rebordãos (castelo)
BITAGAP geoid 6142,GEOGRAPHY*NAME_CLASS*U,Torre do Esporão,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*TOR,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3281,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,Na Herdade do Esporão.<br />,,2022-05-06,ASKINS,2024-06-20,ASKINS,,,,,Torre do Esporão (torre)
BITAGAP geoid 6144,GEOGRAPHY*NAME_CLASS*U,Salir,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3359,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-06,ASKINS,,,,,,,Salir
BITAGAP geoid 6145,GEOGRAPHY*NAME_CLASS*U,Freguesia de Santo Estêvão,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*FREG,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3258,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-06,ASKINS,2024-07-20,SCHAFFER,,,,,Freguesia de Santo Estêvão (freguesia - paróquia civil)
BITAGAP geoid 6146,GEOGRAPHY*NAME_CLASS*U,Castelo de Fontalva,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3291,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-06,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Fontalva (castelo)
