PNUMBER,LABEL,LANG,TYPE
P663,Maps and plans,en,wikibase-item
P664,Opposing,en,wikibase-item
P665,School adherence,en,wikibase-item
P666,Number of participants,en,quantity
P667,Frauen in Bewegung 1848–1938 ID,en,external-id
P668,DNB-Info ID,en,external-id
P669,Matriculation number,en,quantity
P670,Romanised transcription,en,string
P671,Pleiades ID,en,external-id
P672,Google Knowledge Graph ID,en,external-id
P673,Income,en,quantity
P674,Subject of negotiation,en,wikibase-item
P675,Employer's status,en,wikibase-item
P676,Subject matter that raised objections,en,wikibase-item
P677,Underlying problem,en,wikibase-item
P678,CTHS ID society,en,external-id
P679,House numbers,en,url
P680,Equivalent in grams of silver,en,quantity
P681,Equivalent in grams of gold,en,quantity
P682,Equivalent in grams of copper,en,quantity
P683,Value development,en,time
P684,"<First fraction, nominal>",en,wikibase-item
P685,"<Second fraction, nominal>",en,wikibase-item
P686,Accounts held in,en,wikibase-item
P687,Payment interval,en,wikibase-item
P688,Object of payment,en,wikibase-item
P689,Persons of Indian Studies ID,en,external-id
P690,Diameter,en,quantity
P691,Lagis-Hessen PND Link,en,external-id
P692,CDLI ID,en,external-id
P693,FactGrid visualisation,en,url
P694,CDLI ID2,en,external-id
P695,Finding spot,en,wikibase-item
P696,Hex color,en,string
P697,Colour,en,wikibase-item
P698,Mode of presentation,en,wikibase-item
P699,Edvard Munch's correspondance person ID,en,external-id
P700,Statement refers to,en,wikibase-item
P701,GND input field,en,external-id
P702,Based on,en,wikibase-item
P703,Associated persons,en,wikibase-item
P704,Collation,en,string
P705,Depicting,en,wikibase-item
P706,Without,en,wikibase-item
P707,Spanish Biographical Dictionary ID,en,external-id
P708,<Kind of relationship>,en,wikibase-item
P709,LinkedIn personal profile ID,en,external-id
P710,Art & Architecture Thesaurus ID,en,external-id
P711,Sexual orientation,en,wikibase-item
P712,ResearchGate profile ID,en,external-id
P713,Objected by,en,wikibase-item
P714,Premiere,en,wikibase-item
P715,Conflict parties,en,wikibase-item
P716,Frankfurter Personenlexikon,en,external-id
P717,Capacity,en,quantity
P718,Brand,en,wikibase-item
P719,GitHub username,en,external-id
P720,FactGrid List,en,url
P721,Source <string>,en,string
P722,Email address,en,url
P723,Living people protection class,en,wikibase-item
P724,Digest,en,monolingualtext
P725,Coat of arms,en,commonsMedia
P726,Meeting point of,en,wikibase-item
P727,Homosaurus ID (version 3),en,external-id
P728,Forum München ID,en,external-id
P729,Approved by,en,wikibase-item
P730,Commentator,en,wikibase-item
P731,Confirmed by,en,wikibase-item
P732,Bearer,en,wikibase-item
P733,Licensed by,en,wikibase-item
P734,Authenticated by,en,wikibase-item
P735,Patronage,en,wikibase-item
P736,Statistics,en,wikibase-item
P737,Set by,en,wikibase-item
P738,Registrar,en,wikibase-item
P739,Fighting on the side of,en,wikibase-item
P740,Extra-stemmatic relationship,en,wikibase-item
P741,ADB (Wikisource),en,external-id
P742,Historical continuum,en,wikibase-item
P743,ISSN,en,external-id
P744,URN formatter,en,string
P745,Honorific prefix,en,wikibase-item
P746,Religious order,en,wikibase-item
P747,Script style,en,wikibase-item
P748,Typeface,en,wikibase-item
