INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA insid 1389,INSTITUTIONS*NAME_CLASS*U,San Cipriano,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CHURCH,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1084,,,,,,,,,,,,,,,,,BETA bibid 3909,,124,,,,,,,,,,,,,,,<br />,,2006-09-18,FAULHABER,2023-09-21,FAULHABER,,,,,Segovia: San Cipriano
BETA insid 1390,INSTITUTIONS*NAME_CLASS*U,Congregación de España,,,,,,Baños 2003,,,,,,,,,,,INSTITUTIONS*CLASS*RELIGIOUSORDER,INSTITUTIONS*TYPE*OSA,,,,,,,,,,,,,,,,,,,,BETA bibid 4531,,101,,,,,,,,,,,,,,,,,2006-09-21,FAULHABER,2023-09-21,FAULHABER,,,,,Congregación de España
BETA insid 1391,INSTITUTIONS*NAME_CLASS*U,Nuestra Señora del Valle de Écija,,,,,,Zarco,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1695,,,,,,Zarco,,,,,,,,,,,BETA bibid 1003,I,75,ç.III.4,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2022-09-13,FAULHABER,,,,,Nuestra Señora del Valle de Écija
BETA insid 1392,INSTITUTIONS*NAME_CLASS*U,Santa María de la Luz de Niebla,,,,,,Zarco,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1498,,,,Zarco,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,cerca de,BETA geoid 1250,,,,,,Zarco,,,,,,,,,,,BETA bibid 1003,I,76,ç.III.4,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2022-09-13,FAULHABER,,,,,Santa María de la Luz de Niebla
BETA insid 1393,INSTITUTIONS*NAME_CLASS*U,Santa María de la Concepción de Granada,,,,,,Zarco,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,cerca de,BETA geoid 1010,,,,,,Zarco,,,,,,,,,,,BETA bibid 1003,I,76,ç.III.4,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2022-09-13,FAULHABER,,,,,Santa María de la Concepción de Granada
BETA insid 1395,INSTITUTIONS*NAME_CLASS*U,San Jerónimo de Córdoba,,,,,,Zarco,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1025,,,,,,Zarco,,,,,,,,,,,BETA bibid 1003,I,76-77,ç.III.4,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2022-10-31,FAULHABER,,,,,San Jerónimo de Córdoba
BETA insid 1396,INSTITUTIONS*NAME_CLASS*U,Santa María de La Mejorada,,,,,,{I}DHEE{/I},,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 2112,,,,,,{I}DHEE{/I},,,,,,,,,,,BETA bibid 1936,III,1597,,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2022-09-13,FAULHABER,,,,,Santa María de La Mejorada
BETA insid 1397,INSTITUTIONS*NAME_CLASS*U,San Jerónimo de Toros de Guisando,,,,,,Zarco,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 2077,,,,,,,,,,,,,,,,,BETA bibid 1003,I,79-80,ç.III.4,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2022-10-31,FAULHABER,,,,,San Jerónimo de Toros de Guisando
BETA insid 1398,INSTITUTIONS*NAME_CLASS*U,San Miguel del Monte de Miranda de Ebro,,,,,,{I}DHEE{/I},,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,cerca de,BETA geoid 2113,,,,,,{I}DHEE{/I},,,,,,,,,,,BETA bibid 1936,III,1652,ç.III.4,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2022-09-13,FAULHABER,,,,,San Miguel del Monte de Miranda de Ebro
BETA insid 1399,INSTITUTIONS*NAME_CLASS*U,Santa María de la Victoria de Salamanca,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1016,,,,,,{I}DHEE{/I},,,,,,,,,,,BETA bibid 1936,III,1635,ç.III.4,,,,,,,,,,,,,,,,2006-09-25,FAULHABER,2023-04-06,FAULHABER,,,,,Santa María de la Victoria de Salamanca
