SUBID,HEADING_MAIN,HM_CLASS,HM_TYPE,HM_FIELD,HM_BASIS,HEADING_VARIANT,HV_CLASS,HV_TYPE,HV_FIELD,HV_BASIS,HB_SUBID,HB_BASIS,HR_SUBID,HR_BASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA subid 1046,Recetas,,,,,Recetes,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,BETA subid 1047,,,,,,,,,,,,LC: “Here are entered general recipe books. Works containing only cooking recipes are entered under |a Cookery. |i Works containing recipes of interest to machinists and other artisans are entered under |a Workshop recipes”,,2008-04-29,FAULHABER,2011-12-01,FAULHABER,,,,,Recetas
BETA subid 1047,Cocina,,,,,Cuina,SUBJECT*HV_CLASS*CAT,,,LC,BETA subid 1194,,,,,,,,,,,,,,"LC: “Here are entered works on the art of cooking, as well as works that consist of collections of recipes. Works on the cookery of specific places are entered under Cookery 	subdivided by the name of the place. Works on national cuisines and styles of cooking are entered under headings of the type Cookery, American, [Chinese, etc.], 	which may be further subdivided to designate regional styles, e.g. Cookery, American--Southern style; Cookery, Chinese--Sichuan style”",,2008-04-29,FAULHABER,2024-05-08,FAULHABER,,,,,Cocina
BETA subid 1048,Veterinaria,,,,,albeitería,SUBJECT*HV_CLASS*SPANISH,,,,BETA subid 1045,,,,,,,,,,,,,,,,2008-04-30,FAULHABER,2011-12-01,FAULHABER,,,,,Veterinaria
BETA subid 1049,Ginecología,,,,,Ginecologia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1045,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-01,FAULHABER,,,,,Ginecología
BETA subid 1050,Genealogía,,SUBJECT*HM_TYPE*MARC,,LC,Genealogia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1017,,,,,,,,,,,,,,,,1992-07-26,FAULHABER,2011-12-01,FAULHABER,,,,,Genealogía
BETA subid 1051,Heráldica,,,,,Heràldica,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,1992-07-26,FAULHABER,2011-12-02,FAULHABER,,,,,Heráldica
BETA subid 1052,"Granada, guerra de (1482-1492)",SUBJECT*HM_CLASS*EVENT,,,,"Granada, guerra de (1483-1492)",SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1992-07-26,FAULHABER,2011-12-02,FAULHABER,,,,,"Granada, guerra de (1482-1492)"
BETA subid 1053,Agricultura,,,,,Agricultura,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1992-07-30,FAULHABER,2011-12-02,FAULHABER,,,,,Agricultura
BETA subid 1054,Astronomía,,,,,Astronomia,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1079,,,,,,,,,,,,,,,,1992-07-30,FAULHABER,2011-12-02,FAULHABER,,,,,Astronomía
BETA subid 1055,Astrología,,,,,Astrologia,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1081,,,,,,,,,,,,,,,,1992-07-30,FAULHABER,2011-12-02,FAULHABER,,,,,Astrología
BETA subid 1056,Biografía,SUBJECT*HM_CLASS*GENRE,,,,Biografia,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1017,,,,,,,,,,,,,,,,1992-07-30,FAULHABER,2011-12-02,FAULHABER,,,,,Biografía
BETA subid 1057,Iglesia católica - Liturgia,,,,,Església católica - Liturgia,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,,,,,,,,,,,,,,,,1992-11-22,FAULHABER,2014-09-23,FAULHABER,,,,,Iglesia católica - Liturgia
BETA subid 1058,Religión,,,,,Religió,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,{I}Cronología{/I},,,BETA subid 1110,,,BETA bibid 2749,,,,,,,,,,,1993-01-12,FAULHABER,2022-01-25,FAULHABER,,,,,Religión
BETA subid 1059,Filosofía moral,,,,,Filosofia moral,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1089,,,,,,,,,,,,,,,,1993-01-12,FAULHABER,2011-12-02,FAULHABER,,,,,Filosofía moral
BETA subid 1060,Moriscos - conversos musulmanes,,,,,Moriscs,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1993-01-17,FAULHABER,2011-12-02,FAULHABER,,,,,Moriscos - conversos musulmanes
BETA subid 1061,Botánica,,,,,Botánica,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1079,,,,,,,,,,,,,,,,1993-02-08,FAULHABER,2011-12-02,FAULHABER,,,,,Botánica
BETA subid 1062,Política - Administración,,,,{I}Cronología{/I},Administració,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,,,,,,,,,,1993-08-06,FAULHABER,2015-08-23,FAULHABER,,,,,Política - Administración
BETA subid 1063,Guerra,,,,,Guerra,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1993-09-06,FAULHABER,2011-12-02,FAULHABER,,,,,Guerra
BETA subid 1065,Ciencia militar,,,,,Ciència militar,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,1993-09-06,FAULHABER,2011-12-02,FAULHABER,,,,,Ciencia militar
BETA subid 1066,Mariolatría,,,,,Mariolatría,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1016,,BETA subid 1035,,,,,,,,,,,,,,1994-02-22,FAULHABER,2011-12-02,FAULHABER,,,,,Mariolatría
BETA subid 1067,Santa María - Biografía,,,,,"Santa Maria, Biografia",SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1016,,,,,,,,,,,,,,,,1994-02-22,FAULHABER,2011-12-10,FAULHABER,,,,,Santa María - Biografía
BETA subid 1068,Santiago - apóstol,,,,,Santiago,SUBJECT*HV_CLASS*SPANISH,,,,BETA subid 1016,,,,,,,,,,,,,,,,1994-02-22,FAULHABER,2011-12-10,FAULHABER,,,,,Santiago - apóstol
BETA subid 1069,Epístola amorosa,SUBJECT*HM_CLASS*GENRE,,,,Epístola amorosa,SUBJECT*HV_CLASS*SPANISH,,,,BETA subid 1011,,,,,,,,,,,,,,,,1994-02-27,FAULHABER,2011-12-02,FAULHABER,,,,,Epístola amorosa
BETA subid 1070,Cetrería,,,,,cetrería,SUBJECT*HV_CLASS*SPANISH,,,,BETA subid 1071,,,,,,,,,,,,,,,,1994-07-07,FAULHABER,2011-12-02,FAULHABER,,,,,Cetrería
BETA subid 1071,Caza,,,,,Caza,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,1994-07-07,FAULHABER,2011-12-02,FAULHABER,,,,,Caza
BETA subid 1072,Comuneros - rebelión de los,SUBJECT*HM_CLASS*EVENT,,,,"Comuners, rebelió dels",SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1994-07-10,FAULHABER,2011-12-10,FAULHABER,,,,,Comuneros - rebelión de los
BETA subid 1073,Biblia,,,,,Biblia,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1058,,,,,,,,,,,,,,,,1994-08-08,FAULHABER,2011-12-02,FAULHABER,,,,,Biblia
BETA subid 1074,Biblia. Nuevo Testamento,,,,,Biblia. Nou Testament,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1073,,,,,,,,,,,,,,,,1994-08-08,FAULHABER,2022-02-20,FAULHABER,,,,,Biblia. Nuevo Testamento
BETA subid 1075,Sermones,,,,,Sermons,SUBJECT*HV_CLASS*ENGLISH,,,,BETA subid 1231,,,,,,,,,,,,,,,,2011-12-10,FAULHABER,2022-02-21,FAULHABER,,,,,Sermones
BETA subid 1076,Biblia. Antiguo Testamento,,,,,Biblia. Vell Testament,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1073,,,,,,,,,,,,,,,,1994-08-08,FAULHABER,2012-05-22,FAULHABER,,,,,Biblia. Antiguo Testamento
BETA subid 1077,Ascética,,,,{I}Cronología{/I},ascetisme,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,,,,,,,,,,1994-08-09,FAULHABER,2015-08-23,FAULHABER,,,,,Ascética
BETA subid 1078,Misoginia - Antifeminismo,,,,{I}Cronología{/I},Misoginia,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,LC,,,,,,,BETA bibid 2749,,,,,,,,,,,1994-08-16,FAULHABER,2015-08-23,FAULHABER,,,,,Misoginia - Antifeminismo
BETA subid 1079,Ciencia,,,,,Ciència,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,1994-08-18,FAULHABER,2011-12-02,FAULHABER,,,,,Ciencia
BETA subid 1080,Teología,,,,{I}Cronología{/I},Teologia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1058,,,,,BETA bibid 2749,,60.0,137,,,,,,,,1994-08-19,FAULHABER,2015-08-23,FAULHABER,,,,,Teología
BETA subid 1081,Esotérica,,,,{I}Cronología{/I},Esoterisme,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,67.0,168,,,,,,,,1994-08-23,FAULHABER,2015-08-23,FAULHABER,,,,,Esotérica
BETA subid 1082,Derecho canónico,,,,{I}Cronología{/I},Dret canònic,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,67.0,168,,,,,,,,1994-08-23,FAULHABER,2015-08-23,FAULHABER,,,,,Derecho canónico
BETA subid 1083,Exégesis - Exegético,,,,{I}Cronología{/I},Exegesi,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,76.0,199,,,,,,,,1994-08-23,FAULHABER,2015-08-23,FAULHABER,,,,,Exégesis - Exegético
BETA subid 1084,Náutico,,,,{I}Cronología{/I},Nàutica,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,76.0,201,,,,,,,,1994-08-23,FAULHABER,2015-08-23,FAULHABER,,,,,Náutico
BETA subid 1085,Parodia,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Paròdia,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,79.0,213,,,,,,,,1994-08-24,FAULHABER,2015-08-23,FAULHABER,,,,,Parodia
BETA subid 1086,Enciclopedia - Enciclopédico,,,,{I}Cronología{/I},Enciclopèdia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,91.0,266,,,,,,,,1994-08-25,FAULHABER,2015-08-23,FAULHABER,,,,,Enciclopedia - Enciclopédico
BETA subid 1087,Cosmología,,,,{I}Cronología{/I},Cosmologia,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,93.0,274,,,,,,,,1994-08-25,FAULHABER,2015-08-23,FAULHABER,,,,,Cosmología
BETA subid 1088,Costumbres,,,,{I}Cronología{/I},Costums,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,295.0,,,,,,,,,1994-08-25,FAULHABER,2015-08-23,FAULHABER,,,,,Costumbres
BETA subid 1089,Filosofía,,,,{I}Cronología{/I},Filosofia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,108.0,353,,,,,,,,1994-08-31,FAULHABER,2015-08-23,FAULHABER,,,,,Filosofía
BETA subid 1090,Filología,,,,{I}Cronología{/I},Filología,SUBJECT*HV_CLASS*SPANISH,,,,,,BETA subid 1208,,,BETA bibid 2749,,117.0,406,,,,,,,,1994-09-01,FAULHABER,2015-08-23,FAULHABER,,,,,Filología
BETA subid 1091,Geografía,,,,{I}Cronología{/I},Geografia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1079,,,,,BETA bibid 2749,,120.0,419,,,,,,,,1994-09-01,FAULHABER,2015-08-23,FAULHABER,,,,,Geografía
