FG ID,Lpt,Apt
https://database.factgrid.de/entity/Q359574,Paredes de Coura,BITAGAP geoid 2882
https://database.factgrid.de/entity/Q359613,Penafiel,BITAGAP geoid 2908
https://database.factgrid.de/entity/Q360246,São João da Pesqueira,BITAGAP geoid 2933
https://database.factgrid.de/entity/Q358454,Constância,BITAGAP geoid 2978
https://database.factgrid.de/entity/Q357674,Alfândega da Fé,BITAGAP geoid 2993
https://database.factgrid.de/entity/Q359469,Oliveira de Frades,BITAGAP geoid 3017
https://database.factgrid.de/entity/Q360531,Tábua,BITAGAP geoid 3026
https://database.factgrid.de/entity/Q360384,Sátão,BITAGAP geoid 3055
https://database.factgrid.de/entity/Q359912,Resende,BITAGAP geoid 3079
https://database.factgrid.de/entity/Q359168,Mangualde,BITAGAP geoid 3089
https://database.factgrid.de/entity/Q358722,Figueiró dos Vinhos,BITAGAP geoid 3100
https://database.factgrid.de/entity/Q359498,Ourique,BITAGAP geoid 3104
https://database.factgrid.de/entity/Q358899,Grândola,BITAGAP geoid 3120
https://database.factgrid.de/entity/Q360584,Tondela,BITAGAP geoid 3130
https://database.factgrid.de/entity/Q359213,Mealhada,BITAGAP geoid 3188
https://database.factgrid.de/entity/Q359302,Monchique,BITAGAP geoid 3189
https://database.factgrid.de/entity/Q358172,Câmara de Lobos,BITAGAP geoid 3204
https://database.factgrid.de/entity/Q358929,Horta,BITAGAP geoid 3206
https://database.factgrid.de/entity/Q360079,Santa Cruz da Graciosa,BITAGAP geoid 3207
https://database.factgrid.de/entity/Q359308,Monforte,BITAGAP geoid 3220
https://database.factgrid.de/entity/Q358685,Ferreira do Zêzere,BITAGAP geoid 3503
https://database.factgrid.de/entity/Q359818,Proença-a-Nova,BITAGAP geoid 3643
https://database.factgrid.de/entity/Q358272,Carregal do Sal,BITAGAP geoid 3805
https://database.factgrid.de/entity/Q359280,Moimenta da Beira,BITAGAP geoid 3861
https://database.factgrid.de/entity/Q360534,Tabuaço,BITAGAP geoid 3862
https://database.factgrid.de/entity/Q358607,Espinho,BITAGAP geoid 3921
https://database.factgrid.de/entity/Q358337,Castelo de Vide,BITAGAP geoid 4154
https://database.factgrid.de/entity/Q357741,Alvaiázere,BITAGAP geoid 4392
https://database.factgrid.de/entity/Q348424,Gondomar,BITAGAP geoid 4592
https://database.factgrid.de/entity/Q348424,Gondomar,BITAGAP geoid 4592
https://database.factgrid.de/entity/Q360329,São Pedro do Sul,BITAGAP geoid 4658
https://database.factgrid.de/entity/Q359176,Marco de Canaveses,BITAGAP geoid 4699
https://database.factgrid.de/entity/Q743726,Constantim,BITAGAP geoid 4889
https://database.factgrid.de/entity/Q359514,Paços de Ferreira,BITAGAP geoid 5629
https://database.factgrid.de/entity/Q359263,Miranda do Corvo,BITAGAP geoid 6106
https://database.factgrid.de/entity/Q360896,Vila Real de Santo António,BITAGAP geoid 6124
https://database.factgrid.de/entity/Q360109,Santa Maria da Feira,BITAGAP geoid 6306
https://database.factgrid.de/entity/Q358335,Castelo de Paiva,BITAGAP geoid 6617
https://database.factgrid.de/entity/Q359396,Nelas,BITAGAP geoid 6648
https://database.factgrid.de/entity/Q359341,Mora,BITAGAP geoid 6725
