FG qid,Lpt
https://database.factgrid.de/entity/Q357714,Almendra
https://database.factgrid.de/entity/Q357716,Almodôvar
https://database.factgrid.de/entity/Q357715,Almodôvar e Graça dos Padrões
https://database.factgrid.de/entity/Q357718,Almofala
https://database.factgrid.de/entity/Q357717,Almofala e Escarigo
https://database.factgrid.de/entity/Q357719,Almoster
https://database.factgrid.de/entity/Q357720,Almoster
https://database.factgrid.de/entity/Q357721,Alpalhão
https://database.factgrid.de/entity/Q357722,Alpedrinha
https://database.factgrid.de/entity/Q357723,"Alpendorada, Várzea e Torrão"
https://database.factgrid.de/entity/Q357724,Alpiarça
https://database.factgrid.de/entity/Q357725,Alpiarça
https://database.factgrid.de/entity/Q357727,Alqueidão
https://database.factgrid.de/entity/Q357726,Alqueidão da Serra
https://database.factgrid.de/entity/Q357728,Alquerubim
https://database.factgrid.de/entity/Q357729,Altares
https://database.factgrid.de/entity/Q357730,Alte
https://database.factgrid.de/entity/Q357731,Alter do Chão
https://database.factgrid.de/entity/Q357732,Alter do Chão
https://database.factgrid.de/entity/Q357733,Alto do Palurdo
https://database.factgrid.de/entity/Q357734,"Alto do Seixalinho, Santo André e Verderena"
https://database.factgrid.de/entity/Q357735,Altura
https://database.factgrid.de/entity/Q357736,Alturas do Barroso e Cerdedo
https://database.factgrid.de/entity/Q357737,Alvações do Corgo
https://database.factgrid.de/entity/Q357738,Alvadia
https://database.factgrid.de/entity/Q357739,Alvados e Alcaria
https://database.factgrid.de/entity/Q357741,Alvaiázere
https://database.factgrid.de/entity/Q357740,Alvaiázere
https://database.factgrid.de/entity/Q357742,Alvalade
https://database.factgrid.de/entity/Q357743,Alvalade
https://database.factgrid.de/entity/Q357744,Alvão
https://database.factgrid.de/entity/Q357745,Alvarães
https://database.factgrid.de/entity/Q357746,Alvaredo
https://database.factgrid.de/entity/Q357747,Alvarelhos e Guidões
https://database.factgrid.de/entity/Q357748,Alvarenga
https://database.factgrid.de/entity/Q357749,Alvares
https://database.factgrid.de/entity/Q357750,Álvaro
https://database.factgrid.de/entity/Q357751,Alvega e Concavada
https://database.factgrid.de/entity/Q357752,Alvelos
https://database.factgrid.de/entity/Q357753,Alvendre
https://database.factgrid.de/entity/Q357754,Alverca da Beira/Bouça Cova
https://database.factgrid.de/entity/Q357755,Alverca do Ribatejo e Sobralinho
https://database.factgrid.de/entity/Q357757,Alvite
https://database.factgrid.de/entity/Q357756,Alvite e Passos
https://database.factgrid.de/entity/Q357758,Alvites
https://database.factgrid.de/entity/Q357759,Alvito
https://database.factgrid.de/entity/Q357760,Alvito
https://database.factgrid.de/entity/Q357761,Alvoco da Serra
https://database.factgrid.de/entity/Q357762,Alvoco das Várzeas
https://database.factgrid.de/entity/Q357763,Alvor
https://database.factgrid.de/entity/Q357764,Alvora e Loureda
https://database.factgrid.de/entity/Q357765,Alvorge
https://database.factgrid.de/entity/Q357766,Alvorninha
https://database.factgrid.de/entity/Q357767,Amadora
https://database.factgrid.de/entity/Q357769,Amarante
https://database.factgrid.de/entity/Q357768,"Amarante (São Gonçalo), Madalena, Cepelos e Gatão"
https://database.factgrid.de/entity/Q357770,Amareleja
https://database.factgrid.de/entity/Q357772,Amares
https://database.factgrid.de/entity/Q357771,Amares e Figueiredo
https://database.factgrid.de/entity/Q357773,Amedo e Zedes
https://database.factgrid.de/entity/Q357775,Ameixial
https://database.factgrid.de/entity/Q357774,Ameixial (Santa Vitória e São Bento)
https://database.factgrid.de/entity/Q357776,Amêndoa
https://database.factgrid.de/entity/Q357777,Amendoeira
https://database.factgrid.de/entity/Q357778,Amiais de Baixo
https://database.factgrid.de/entity/Q357779,Amieira e Alqueva
https://database.factgrid.de/entity/Q357780,Amonde
https://database.factgrid.de/entity/Q357781,Amor
https://database.factgrid.de/entity/Q357782,Amora
https://database.factgrid.de/entity/Q357785,Amoreira
https://database.factgrid.de/entity/Q357783,"Amoreira da Gândara, Paredes do Bairro e Ancas"
https://database.factgrid.de/entity/Q357784,"Amoreira, Parada e Cabreira"
https://database.factgrid.de/entity/Q357786,Anadia
https://database.factgrid.de/entity/Q357787,Anais
https://database.factgrid.de/entity/Q357788,Ançã
https://database.factgrid.de/entity/Q357789,Ancede e Ribadouro
https://database.factgrid.de/entity/Q357790,Âncora
https://database.factgrid.de/entity/Q357791,Andrães
https://database.factgrid.de/entity/Q357792,Anelhe
https://database.factgrid.de/entity/Q357793,Angeja
https://database.factgrid.de/entity/Q357794,Angra do Heroísmo
https://database.factgrid.de/entity/Q357795,Angústias
https://database.factgrid.de/entity/Q357796,Anha
https://database.factgrid.de/entity/Q357797,Anhões e Luzio
https://database.factgrid.de/entity/Q357798,Anissó e Soutelo
https://database.factgrid.de/entity/Q357799,Anjos e Vilar do Chão
https://database.factgrid.de/entity/Q357800,Anobra
https://database.factgrid.de/entity/Q357801,Anreade e São Romão de Aregos
https://database.factgrid.de/entity/Q357802,Ansiães
https://database.factgrid.de/entity/Q357803,Ansião
https://database.factgrid.de/entity/Q357804,Ansião
https://database.factgrid.de/entity/Q357805,Anta e Guetim
https://database.factgrid.de/entity/Q357809,Antas
https://database.factgrid.de/entity/Q357806,Antas e Abade de Vermoim
https://database.factgrid.de/entity/Q357807,Antas e Matela
https://database.factgrid.de/entity/Q357808,Antas e Ourozinho
https://database.factgrid.de/entity/Q357810,Antime e Silvares (São Clemente)
https://database.factgrid.de/entity/Q357811,Antuzede e Vil de Matos
https://database.factgrid.de/entity/Q357812,Apúlia e Fão
https://database.factgrid.de/entity/Q357813,Aradas
https://database.factgrid.de/entity/Q357814,Aranhas
https://database.factgrid.de/entity/Q357815,Arazede
https://database.factgrid.de/entity/Q357816,Arca e Ponte de Lima
https://database.factgrid.de/entity/Q357817,Arca e Varzielas
https://database.factgrid.de/entity/Q357818,Arcas
https://database.factgrid.de/entity/Q357819,Arco da Calheta
https://database.factgrid.de/entity/Q357820,Arco de Baúlhe e Vila Nune
https://database.factgrid.de/entity/Q357821,Arco de São Jorge
https://database.factgrid.de/entity/Q357828,Arcos
https://database.factgrid.de/entity/Q357827,Arcos
https://database.factgrid.de/entity/Q357826,Arcos
https://database.factgrid.de/entity/Q357824,Arcos de Valdevez
https://database.factgrid.de/entity/Q357822,"Arcos de Valdevez (Salvador), Vila Fonche e Parada"
https://database.factgrid.de/entity/Q357823,Arcos de Valdevez (São Paio) e Giela
