BIOID,NAME_CLASS,NAME_FIRST,NAME_LAST,NAME_NUMBER,NAME_HONORIFIC,NAME_EPITHET,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,TITLE,TITLE_NUMBER,TITLE_CONNECTOR,TITLE_GEOID,TITLE_Q,TITLE_BD,TITLE_BDQ,TITLE_ED,TITLE_EDQ,TITLE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,AFFILIATION_CLASS,AFFILIATION_TYPE,AFFILIATION_Q,AFFILIATION_GEOID,AFFILIATION_GEOIDQ,AFFILIATION_BD,AFFILIATION_BDQ,AFFILIATION_ED,AFFILIATION_EDQ,AFFILIATION_BASIS,SEX,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA bioid 1866,BIOGRAPHY*NAME_CLASS*OTHR,Carlos,,BIOGRAPHY*NAME_NUMBER*I,,,,,,,,,BIOGRAPHY*TITLE*REY,,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1004,,1516-01-23,,1556-01-16,,Cappelli,BIOGRAPHY*MILESTONE_CLASS*RES,,,BETA geoid 1056,,1529-03-12,,,,Arteaga I:314,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 3139,,1500,,1555-04-13,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8309,,,10728/carlos-i-de-espana-y-v-de-alemania,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,https://dbe.rah.es/biografias/10728/carlos-i-de-espana-y-v-de-alemania,RAH DB~e,2022-11-27,
BETA bioid 1866,BIOGRAPHY*NAME_CLASS*OTHR,Charles,,BIOGRAPHY*NAME_NUMBER*V,,,,,,,,,,,,,,,,,,,BIOGRAPHY*MILESTONE_CLASS*DIE,,,,,1558-09-21,,,,Cappelli,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*HUSBAND,,BETA bioid 3308,,1526-03-10,,1539-05-01,,Agustí et al,,,,,,,,,,,BETA bibid 2313,I,314,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,https://es.wikipedia.org/wiki/Carlos_I_de_Espa%C3%B1a,Wikipedia,2016-03-14,
BETA bioid 1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 2089,,1527-05-21,,1558-09-21,,Agustí et al,,,,,,,,,,,BETA bibid 2749,,119,413,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*ESTUD,,BETA bioid 3744,,,,,,{I}Cronología{/I} 570,,,,,,,,,,,BETA bibid 2749,,149,570,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*PATRO-CLI,,BETA bioid 1494,,1530,,,,Azáceta 1:xcvi,,,,,,,,,,,BETA bibid 2749,,161,633,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 3297,,1500-02-25,,1506-09-25,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 2512,,551,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*BROTHER,,BETA bioid 3296,,1502,,1558-09-21,,,,,,,,,,,,,BETA bibid 1936,II,1238,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 4414,,1547,,1558-09-21,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 4406,,354,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 4416,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 4572,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*PATRO-CLI,,BETA bioid 6027,,1520-11-30,ad quem,1545-04-03,,{I}DHEE{/I},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
